Absolute Time (s),Current (A),Voltage (V)
33.04198916459656,0.0276838,5.0
33.051989164596556,0.0276839,5.0
33.06198916459656,0.0276838,5.0
33.07198916459656,0.027684,5.0
33.08198916459656,0.027684,5.0
33.091989164596555,0.0276839,5.0
33.10198916459656,0.0276838,5.0
33.11198916459656,0.0276842,5.0
33.121989164596556,0.0276841,5.0
33.13198916459656,0.0276842,5.0
33.14198916459656,0.0276841,5.0
33.15198916459656,0.0276841,5.0
33.161989164596555,0.0276842,5.0
33.17198916459656,0.0276843,5.0
33.18198916459656,0.0276842,5.0
33.191989164596556,0.0276843,5.0
33.201989164596554,0.0276841,5.0
33.21198916459656,0.0276841,4.99999
33.22198916459656,0.0276842,5.0
33.231989164596555,0.0276843,5.0
33.24198916459656,0.0276841,5.0
33.25198916459656,0.0276839,5.0
33.26198916459656,0.0276839,5.0
33.271989164596555,0.0276841,5.0
33.28198916459656,0.0276839,5.0
33.29198916459656,0.0276841,5.0
33.301989164596556,0.027684,5.0
33.31198916459656,0.0276839,5.0
33.32198916459656,0.0276837,5.0
33.33198916459656,0.0276838,5.0
33.341989164596555,0.0276838,5.0
33.35198916459656,0.0276842,5.0
33.36198916459656,0.027684,5.0
33.371989164596556,0.0276843,5.0
33.38198916459656,0.0276841,5.0
33.39198916459656,0.0276843,5.0
33.40198916459656,0.0276841,5.0
33.411989164596555,0.0276841,5.0
33.42198916459656,0.0276841,5.0
33.43198916459656,0.0276841,5.0
33.441989164596556,0.0276841,5.0
33.451989164596554,0.0276842,5.0
33.46198916459656,0.0276841,5.0
33.47198916459656,0.0276839,5.0
33.481989164596555,0.027684,5.0
33.49198916459656,0.0276838,5.0
33.50198916459656,0.027684,5.0
33.51198916459656,0.0276841,5.0
33.521989164596555,0.0276841,5.0
33.53198916459656,0.0276842,5.0
33.54198916459656,0.0276843,5.0
33.551989164596556,0.0276843,5.0
33.56198916459656,0.0276841,5.0
33.57198916459656,0.0276842,5.0
33.58198916459656,0.0276842,5.0
33.591989164596555,0.0276843,5.0
33.60198916459656,0.0276841,5.0
33.61198916459656,0.0276842,5.0
33.621989164596556,0.0276841,5.0
33.63198916459656,0.0276843,5.0
33.64198916459656,0.0276843,5.0
33.65198916459656,0.0276842,4.99999
33.835678577423096,0.005,0.90485
33.84021657742309,0.0276825,5.0
33.8502165774231,0.0276831,5.0
33.860216577423095,0.0276828,5.0
33.87021657742309,0.0276831,5.0
33.8802165774231,0.0276831,5.0
33.8902165774231,0.0276833,5.0
33.900216577423095,0.0276833,5.0
33.91021657742309,0.0276832,5.0
33.9202165774231,0.0276832,5.0
33.930216577423096,0.0276832,5.0
33.940216577423094,0.0276833,5.0
33.9502165774231,0.0276833,5.0
33.9602165774231,0.0276833,5.0
33.970216577423095,0.0276834,5.0
33.98021657742309,0.0276833,5.0
33.9902165774231,0.0276834,5.0
34.000216577423096,0.0276833,5.0
34.010216577423094,0.0276834,5.0
34.0202165774231,0.0276835,5.0
34.0302165774231,0.0276836,5.0
34.040216577423095,0.0276834,5.0
34.05021657742309,0.0276834,5.0
34.0602165774231,0.0276834,5.0
34.070216577423096,0.0276835,5.0
34.080216577423094,0.0276836,5.0
34.09021657742309,0.0276837,5.0
34.1002165774231,0.0276833,5.0
34.110216577423095,0.0276837,5.0
